"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm，|Y|<2mm),Case 3 (X<-2mm，|Y|<2mm)
60501.51868060474,,
60501.519000074695,,
60501.51931963887,,
60501.519639334714,,
60501.51995892902,,
60501.520281441626,,
60501.52060083578,,
60501.52092075923,,
60501.52124093888,,
60501.5215608143,,
60501.52188093586,,
60501.52220076139,,
60501.522520601735,,
60501.52284066864,,
60501.52316062119,,
60501.52348031809,,
60501.523800044175,,
60501.52411982688,,
60501.524439549656,,
60501.52475920834,,
60501.52507894461,,
60501.52539872218,,
60501.52571829624,,
60501.526038219155,,
60501.52635770921,,
60501.52667722427,,
60501.52699702864,,
60501.52731664153,,
60501.52763605547,,
60501.527955520345,,
60501.52827544375,,
60501.528594848016,,
60501.52891437196,,
60501.52923383517,,
60501.52955335591,,
60501.52987293058,,
60501.530192380626,,
60501.53051177085,,
60501.530831147924,,
60501.531150916875,,
60501.531470793496,,
60501.53179065492,,
60501.53211042707,,
60501.53243026735,,
60501.53275008265,,
60501.53307115925,,
60501.533391022815,,
60501.53371108788,,
60501.534030630224,,
60501.53466962077,,
60501.535308437655,,
60501.53562871538,,
60501.53594824255,,
60501.536267711315,,
60501.53658716569,,
60501.53690688274,,
60501.537226395674,,
60501.5375458223,,
60501.537865511156,,
60501.53818518118,,
60501.53850472757,,
60501.53882413761,,
60501.53914374976,,
60501.53946316209,,
60501.53978292602,,
60501.5401022445,,
60501.54042179216,,
60501.54074121246,,
60501.54106112985,,
60501.54138513378,,
60501.54170487984,,
60501.54202451724,,
60501.54234418169,,
60501.54266409105,,
60501.54298412221,,
60501.54330401088,,
60501.54362357483,,
60501.54394344331,,
60501.544263065225,,
60501.54490219477,,
60501.5452217388,,
60501.54554122061,,
60501.54586065259,,
60501.54618013566,,
60501.546499587435,,
60501.546819083625,,
60501.547138504946,,
60501.54745797,,
60501.54777744699,,
60501.54809677594,,
60501.54841606698,,
60501.54873542246,,
60501.54905476188,,
60501.54937410344,,
60501.54969334329,,
60501.55001263738,,
60501.55033188295,,
60501.55065121369,,
60501.55097104932,,
60501.55129089994,,
60501.551610560506,,
60501.55224657619,,
60501.5525662195,,
60501.55288579473,,
60501.55320537559,,
60501.553525065894,,
60501.55384479661,,
60501.55416440271,,
60501.55448388444,,
60501.554803359795,,
60501.5551228464,,
60501.555442410434,,
60501.55576198769,,
60501.55608156812,,
60501.55640102085,,
60501.55672039822,,
60501.55704000613,,
60501.55735945907,,
60501.55767887876,,
60501.55799821132,,
60501.55831770152,,
60501.55863702331,,
60501.55895641914,,
60501.55927575693,,
60501.55959516717,,
60501.5599151042,,
60501.56023473123,,
60501.56055437609,,
60501.56087405717,,
60501.56119375369,,
60501.561513487126,,
60501.56183329172,,
60501.56215298511,,
60501.56247667416,,
60501.562796229555,,
60501.56311589718,,
60501.56343550077,,
60501.56375500854,,
60501.564074556605,,
60501.564394151676,,
60501.56471372693,,
60501.56503323873,,
60501.565352757825,,
60501.565672272234,,
60501.56599169647,,
60501.56631118341,,
60501.5666307155,,
60501.56695011264,,
60501.567269621126,,
60501.56758905231,,
60501.56790850242,,
60501.568227802265,,
60501.56854721831,,
60501.56886651357,,
60501.56918589957,,
60501.56950513576,,
60501.56982438831,,
60501.570143638135,,
60501.57046336729,,
60501.570783219024,,
60501.571103092574,,
60501.57142298071,,
60501.57174266954,,
60501.57206224864,,
60501.57238193945,,
60501.572701749894,,
60501.573021396485,,
60501.57334118092,,
60501.57366077685,,
60501.57398034889,,
60501.57429984136,,
60501.574619439896,,
60501.57493900043,,
60501.5752584659,,
60501.57557799326,,
60501.5758932217,,
60501.57621262895,,
60501.576532255276,,
60501.57685178215,,
60501.577171191246,,
60501.577490820826,,
60501.577810265124,,
60501.57812958431,,
60501.578449046574,,
60501.57876836763,,
60501.57908767133,,
60501.57940689393,,
60501.57972614699,,
60501.58004552621,,
60501.58036543807,,
60501.580685102475,,
60501.58100490426,,
60501.581324708226,,
60501.58164434511,,
60501.581964155244,,
60501.582283901276,,
60501.58260354161,,
60501.582923080685,,
60501.5832427027,,
60501.583566409434,,
60501.583886063156,,
60501.58420572566,,
60501.58452520563,,
60501.58548280852,,
60501.5858023072,,
60501.58644087799,,
60501.58676043156,,
60501.587079738565,,
60501.58739917336,,
60501.58771839473,,
60501.58803758879,,
60501.588356812754,,
60501.588676113184,,
60501.58899540548,,
60501.589314613186,,
60501.58963442592,,
60501.59027379242,,
60501.590593572975,,
60501.590913310196,,
60501.59123298188,,
60501.59155291246,,
60501.591872717196,,
60501.59219241621,,
60501.59251213398,,
60501.59283180212,,
60501.59315136779,,
60501.593470925465,,
60501.59379069256,,
60501.59411018624,,
60501.59442981985,,
60501.59474945845,,
60501.59506920486,,
60501.595388996284,,
60501.59570855052,,
60501.59602799717,,
60501.596347524355,,
60501.596667006175,,
60501.596986482815,,
60501.60037052919,,
60501.60069013016,,
60501.6010097594,,
60501.60132932012,,
60501.60164897363,,
60501.60196843548,,
60501.60228791064,,
60501.6026073636,,
60501.60324315219,,
60501.60356251607,,
60501.60388208572,,
60501.60420139036,,
60501.604520753644,,
60501.604840124695,,
60501.60515947594,,
60501.60547886202,,
60501.60579829504,,
60501.606117672665,,
60501.60643701642,,
60501.606756810754,,
60501.60708079523,,
60501.60740059338,,
60501.60772033461,,
60501.60804007725,,
60501.6083599851,,
60501.60867975477,,
60501.608999795346,,
60501.60931954661,,
60501.60963913079,,
60501.6099587932,,
60501.61027857436,,
60501.610598289655,,
60501.61091816933,,
60501.611237784164,,
60501.61155747179,,
60501.611876948446,,
60501.61219646711,,
60501.61251598542,,
60501.61283567735,,
60501.61315504043,,
60501.61347454729,,
60501.6141129637,,
60501.61443238997,,
60501.61507073075,,
60501.61539001797,,
60501.61570929338,,
60501.616029142,,
60501.616348877404,,
60501.6166687777,,
60501.616988741865,,
60501.61730845903,,
60501.61762847493,,
60501.61794806793,,
60501.61826807509,,
60501.61858786462,,
60501.6189074124,,
60501.61922712458,,
60501.619546980626,,
60501.6198666987,,
60501.62018667733,,
60501.62050631178,,
60501.62082618917,,
60501.62123307628,,
60501.621552802266,,
60501.621872466596,,
60501.62219219274,,
60501.622511728056,,
60501.622831335735,,
60501.623151207226,,
60501.623470854945,,
60501.623790381156,,
60501.624110109144,,
60501.624517960416,,
60501.62483798439,,
60501.625158103954,,
60501.625478090136,,
60501.62579808785,,
60501.62611818994,,
60501.62643838429,,
60501.626758568964,,
60501.627078392936,,
60501.62739842252,,
60501.62771811615,,
60501.628042495315,,
60501.628362322044,,
60501.62868229492,,
60501.6290022077,,
60501.6293220199,,
60501.62964209581,,
60501.629962072875,,
60501.63028201341,,
60501.63060168931,,
60501.63123985747,,
60501.63155986043,,
60501.63187977765,,
60501.63219965827,,
60501.63252021157,,
60501.63284053109,,
60501.63316063751,,
60501.633480594624,,
60501.63380105723,,
60501.6341211572,,
60501.63444124642,,
60501.634761382506,,
60501.63508154215,,
60501.63540170843,,
60501.63572171112,,
60501.63604191695,,
60501.636362036166,,
60501.63679901104,,
60501.637119485524,,
60501.63743980092,,
60501.637759820296,,
60501.63807994602,,
60501.63840006803,,
60501.63872032653,,
60501.63904046215,,
60501.63936047043,,
60501.63968034074,,
60501.64000585658,,
60501.640325676264,,
60501.64064555194,,
60501.640965754625,,
60501.64128568109,,
60501.64192485022,,
