"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60503.8265503142,60503.945261939676,60503.94687855492
60503.82687347046,60503.94558495585,60504.01305882437
60503.82719687348,60503.945908290014,60504.26152625606
60503.827519908045,60503.9465551392,60504.26377260465
60503.82784321486,60504.01241272618,60504.26954390548
60503.82816635069,60504.01273579137,60504.26986388821
60503.82848965001,60504.01338195421,60504.27018387539
60503.82881268075,60504.01370512928,60504.2772337817
60503.829135855245,60504.014028227706,60504.27787395892
60503.82945891234,,60504.27883364108
60503.829782281085,,60504.2804340361
60503.830105249304,,60504.280753978506
60503.83042821356,,60504.28107436858
60503.830754049806,,60504.28139484483
60503.83107704111,,
60503.83139996729,,
60503.8317232837,,
60503.832046230804,,
60503.83236916605,,
60503.83269196013,,
60503.83301510363,,
60503.83333804628,,
60503.83366086566,,
60503.83398375764,,
60503.834306734534,,
60503.834629504905,,
60503.83495229082,,
60503.83527529837,,
60503.835598227924,,
60503.835921005615,,
60503.83624378714,,
60503.836566478385,,
60503.836889210565,,
60503.83721269299,,
60503.83753596887,,
60503.83785908855,,
60503.83818272077,,
60503.83850583949,,
60503.838829220105,,
60503.83915269724,,
60503.83947605864,,
60503.83979943384,,
60503.84012261437,,
60503.84044625058,,
60503.840769640796,,
60503.8410929265,,
60503.84141653993,,
60503.841739716634,,
60503.842063365555,,
60503.84238640576,,
60503.84270969995,,
60503.84303289166,,
60503.84335616237,,
60503.84367957544,,
60503.84400290754,,
60503.84432642849,,
60503.844649691644,,
60503.844972650724,,
60503.845295776046,,
60503.84561887233,,
60503.84566249914,,
60503.845662933854,,
60503.845663473716,,
60503.84564870565,,
60503.84566129696,,
60503.84566158667,,
60503.845662012296,,
60503.846032124224,,
60503.84635515644,,
60503.846678205584,,
60503.84700122666,,
60503.84732431358,,
60503.84764740742,,
60503.8511575676,,
60503.85148042816,,
60503.85180621643,,
60503.85212938129,,
60503.852452284686,,
60503.85277517542,,
60503.85309824874,,
60503.85342114155,,
60503.85374395945,,
60503.85406707482,,
60503.854390351655,,
60503.85471350656,,
60503.85503676366,,
60503.85536010937,,
60503.85568336508,,
60503.856006582224,,
60503.85632968569,,
60503.85665341993,,
60503.85697691067,,
60503.85729997484,,
60503.857623096774,,
60503.85794647748,,
60503.85826960877,,
60503.858593068784,,
60503.85891640838,,
60503.85956273025,,
60503.859885875674,,
60503.86020911981,,
60503.860532272294,,
60503.86085538862,,
60503.86117849104,,
60503.86150158964,,
60503.86182468318,,
60503.86214788837,,
60503.86247084843,,
60503.86279403151,,
60503.86311717045,,
60503.86344028622,,
60503.86376330613,,
60503.86408676175,,
60503.86440970396,,
60503.864732654474,,
60503.86505570479,,
60503.86537844536,,
60503.86570155339,,
60503.86602437975,,
60503.86634727123,,
60503.86667011841,,
60503.86699300751,,
60503.867315725496,,
60503.8676385644,,
60503.8679615501,,
60503.86828428904,,
60503.868607074546,,
60503.86892981526,,
60503.86925308569,,
60503.869576289435,,
60503.86989966732,,
60503.87022278212,,
60503.87054590284,,
60503.87086892972,,
60503.87119209218,,
60503.87151538656,,
60503.87183844544,,
60503.87216176702,,
60503.87248492336,,
60503.872810950474,,
60503.873134046,,
60503.87345718675,,
60503.8737802576,,
60503.87410338868,,
60503.874426431226,,
60503.874749474206,,
60503.875072582756,,
60503.87539560262,,
60503.875718660565,,
60503.87604176166,,
60503.876364693955,,
60503.876687643715,,
60503.8770105835,,
60503.87733347249,,
60503.877656506564,,
60503.877979480814,,
60503.878302435245,,
60503.87862546933,,
60503.878948354235,,
60503.879271276564,,
60503.87959413489,,
60503.87991698865,,
60503.88023986002,,
60503.8805626268,,
60503.88088537255,,
60503.881208178514,,
60503.881530878076,,
60503.881853710576,,
60503.88217646962,,
60503.88249932261,,
60503.88282195939,,
60503.883144740816,,
60503.88355209299,,
60503.88387498853,,
60503.88419796321,,
60503.884520676205,,
60503.884843486885,,
60503.88516614198,,
60503.88548891278,,
60503.885811629734,,
60503.88613437727,,
60503.886457154,,
60503.88677986025,,
60503.88710307265,,
60503.887510516826,,
60503.8878332172,,
60503.88815593739,,
60503.88847875179,,
60503.888801515364,,
60503.88912435698,,
60503.88944713775,,
60503.88976987329,,
60503.89009257413,,
60503.89041534631,,
60503.890738117094,,
60503.89106123434,,
60503.891384233335,,
60503.89170738407,,
60503.89203047695,,
60503.89235357517,,
60503.89267683003,,
60503.89300006901,,
60503.89332321957,,
60503.89364938896,,
60503.89397266237,,
60503.89429571682,,
60503.89461881871,,
60503.89494198747,,
60503.89526515847,,
60503.89558829634,,
60503.89591127864,,
60503.896234291824,,
60503.896557384905,,
60503.896880571054,,
60503.897203707646,,
60503.897526691035,,
60503.897849713685,,
60503.898126194224,,
60503.89812672538,,
60503.898127273365,,
60503.89812765083,,
60503.89743088598,,
60503.89775359324,,
60503.89807643302,,
60503.89839923935,,
60503.89872202685,,
60503.89904540944,,
60503.899368612074,,
60503.899691809616,,
60503.90001508533,,
60503.900338206724,,
60503.903900624995,,
60503.90422390908,,
60503.90454696078,,
60503.90487005071,,
60503.90519342111,,
60503.905516581115,,
