"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60502.51687426566,,
60502.51719809168,,
60502.517521650385,,
60502.51784503485,,
60502.51816888815,,
60502.51849333397,,
60502.51873914378,,
60502.51875231138,,
60502.51875324568,,
60502.51873911564,,
60502.51875181289,,
60502.51875305743,,
60502.5187532549,,
60502.51875094662,,
60502.518748280876,,
60502.518745806236,,
60502.5204750093,,
60502.52079856803,,
60502.52112191508,,
60502.52144553664,,
60502.52176917273,,
60502.522092939216,,
60502.522416743275,,
60502.52274029899,,
60502.5230637537,,
60502.52338754738,,
60502.52371121314,,
60502.52403437965,,
60502.524358137925,,
60502.52468192039,,
60502.52500523139,,
60502.525652855395,,
60502.52597605213,,
60502.52629932584,,
60502.52662372455,,
60502.526946902726,,
60502.52727010222,,
60502.52759384443,,
60502.52791686698,,
60502.528239897394,,
60502.52856291723,,
60502.52888637019,,
60502.52920941255,,
60502.52953476756,,
60502.52985792082,,
60502.530181165064,,
60502.53050421462,,
60502.53082727723,,
60502.53115027326,,
60502.53147332556,,
60502.53179661458,,
60502.53211956982,,
60502.53244255661,,
60502.53276553243,,
60502.53308870145,,
60502.5334119012,,
60502.533734734476,,
60502.5340576955,,
60502.534380652825,,
60502.53470369412,,
60502.535027330116,,
60502.53535113449,,
60502.535675171806,,
60502.5359996513,,
60502.536323364606,,
60502.536646960165,,
60502.53697036352,,
60502.53729404957,,
60502.540706174754,,
60502.551690405715,,
60502.55201449382,,
60502.55233779637,,
60502.553311869495,,
60502.55395824,,
60502.55428126495,,
60502.55557507681,,
60502.55622148715,,
60502.55654461319,,
60502.55686837711,,
60502.557191436004,,
60502.55751455646,,
60502.5578374106,,
60502.558160886256,,
60502.558484220295,,
60502.558806997826,,
60502.559453075155,,
60502.55977590391,,
60502.5600987021,,
60502.56042213778,,
60502.560745849376,,
60502.56139260932,,
60502.561716362936,,
60502.56203960677,,
60502.56236315126,,
60502.56301104434,,
60502.56333478477,,
60502.563658718514,,
60502.56430699212,,
60502.56495348661,,
60502.56527721779,,
60502.565600776536,,
60502.5659240988,,
60502.56689470289,,
60502.56758071133,,
60502.567903772,,
60502.56796318927,,
60502.5679763021,,
60502.56797742996,,
60502.56796346285,,
60502.5674078802,,
60502.56773057768,,
60502.56805451298,,
60502.56837725879,,
60502.56870088714,,
60502.569024781944,,
60502.56934850089,,
60502.56967197642,,
60502.56999520096,,
60502.570318997736,,
60502.570642993145,,
60502.5712898999,,
60502.57161313757,,
60502.5719384561,,
60502.57226253557,,
60502.5725861636,,
60502.57355676434,,
60502.57388102412,,
60502.5745280968,,
60502.574851565834,,
60502.57614384369,,
60502.57957191733,,
60502.57989496896,,
60502.580217848255,,
60502.58054068412,,
60502.58118695465,,
60502.58151078092,,
60502.581834471406,,
60502.582157855526,,
60502.582481635494,,
60502.58280482376,,
60502.58312801016,,
60502.58345132419,,
60502.58377467464,,
60502.584097699524,,
60502.58442093954,,
60502.584744254294,,
60502.58506936007,,
60502.58539241289,,
60502.58571615861,,
60502.586039567526,,
60502.586362998045,,
60502.58668636787,,
60502.58700960539,,
60502.58733305447,,
60502.58765611907,,
60502.587979200754,,
60502.5883023881,,
60502.588625682016,,
60502.58894915357,,
60502.589272555364,,
60502.58959570538,,
60502.58991900572,,
60502.59024274224,,
60502.59056643664,,
60502.591212864725,,
60502.59153644467,,
60502.59185995073,,
60502.592183111585,,
60502.59282963769,,
60502.59291944086,,
60502.592931883584,,
60502.59291690582,,
60502.59292939277,,
60502.59292984585,,
60502.59293045523,,
60502.59313779757,,
60502.59378656403,,
60502.594109858546,,
60502.59760432133,,
60502.597927653675,,
60502.598250824136,,
60502.59857494153,,
60502.59889804713,,
60502.59922160218,,
60502.59954468416,,
60502.5998676775,,
60502.600190753736,,
60502.60046739185,,
60502.60046442277,,
60502.60046828726,,
60502.600465603275,,
60502.600478450135,,
60502.6006643359,,
60502.6009874991,,
60502.60131077859,,
60502.60195756791,,
60502.60292874015,,
60502.6032520068,,
60502.60357485591,,
60502.603898042784,,
60502.60422107295,,
60502.60454441978,,
60502.60474309642,,
60502.60474865265,,
60502.604734811895,,
60502.60474726298,,
60502.604747612946,,
60502.60474796136,,
60502.604748240774,,
60502.606783165094,,
60502.60710621225,,
60502.6074323818,,
60502.607755509955,,
60502.6080784924,,
60502.60840164492,,
60502.60872451982,,
60502.6090475,,
60502.60937054773,,
60502.60969374317,,
60502.61001670957,,
60502.61033976235,,
60502.61066270756,,
60502.611308908,,
60502.61163169483,,
60502.611955602326,,
60502.615497837316,,
60502.61582113753,,
60502.61614475907,,
60502.61646800834,,
60502.617114404944,,
60502.617439660964,,
60502.61776360077,,
60502.61808667961,,
60502.61841023504,,
60502.618733770265,,
60502.619057914075,,
60502.6193809644,,
60502.61978564963,,
60502.6197830168,,
60502.619780218876,,
60502.618821510856,,
60502.61914537293,,
60502.6194687032,,
60502.619792123485,,
60502.62011553759,,
60502.62043936818,,
60502.62076236893,,
60502.621085401566,,
60502.62173284283,,
60502.62205588484,,
60502.62237971085,,
60502.62270288926,,
60502.623026476045,,
60502.62334995052,,
60502.62402614425,,
60502.62434940253,,
60502.62467212279,,
60502.62499527917,,
60502.625320305124,,
60502.62564499164,,
