"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60502.81412800234,,
60502.81445090933,,
60502.8147738208,,
60502.81509680185,,
60502.81541977136,,
60502.81574278225,,
60502.81606578165,,
60502.81638891508,,
60502.81671402179,,
60502.81703698988,,
60502.817359726076,,
60502.81768461581,,
60502.81800775117,,
60502.81833066384,,
60502.81865349924,,
60502.818976646224,,
60502.81929946446,,
60502.8196222756,,
60502.81994553809,,
60502.82026849181,,
60502.82059158059,,
60502.82091444447,,
60502.821237223034,,
60502.8215598888,,
60502.8218826153,,
60502.82220540984,,
60502.822528311954,,
60502.82285100932,,
60502.8231737071,,
60502.82349641766,,
60502.823819118814,,
60502.82414188391,,
60502.824464656296,,
60502.82478769672,,
60502.825110696605,,
60502.82543400126,,
60502.82575701822,,
60502.82608010806,,
60502.82640328739,,
60502.82672638132,,
60502.82704969735,,
60502.82737509117,,
60502.82769814787,,
60502.82802110806,,
60502.8283440948,,
60502.82866707673,,
60502.828990148744,,
60502.829313189926,,
60502.829636164,,
60502.82995924299,,
60502.83028224268,,
60502.830605595926,,
60502.83092854485,,
60502.831251655276,,
60502.83157462391,,
60502.83189740886,,
60502.832220352946,,
60502.83254306142,,
60502.83286582776,,
60502.833189003155,,
60502.833511849865,,
60502.83383477071,,
60502.83415762168,,
60502.834480485835,,
60502.83480334335,,
60502.83512609926,,
60502.83544903853,,
60502.83577186798,,
60502.8360947053,,
60502.83641754213,,
60502.83674028736,,
60502.837062959996,,
60502.83738581558,,
60502.83770430861,,
60502.838029543156,,
60502.83835245914,,
60502.83867517056,,
60502.83899798461,,
60502.83932101847,,
60502.83964375124,,
60502.83996642914,,
60502.84028915123,,
60502.840612734595,,
60502.84093590372,,
60502.84125930465,,
60502.84158246801,,
60502.841905639245,,
60502.84222877425,,
60502.84255186855,,
60502.842874935435,,
60502.84319811019,,
60502.84352124052,,
60502.843844384624,,
60502.84416775102,,
60502.84449099812,,
60502.84481401648,,
60502.84513692393,,
60502.84545978794,,
60502.84578311877,,
60502.84610606923,,
60502.84642917425,,
60502.84675220805,,
60502.84707501369,,
60502.84739800413,,
60502.84772094631,,
60502.84804388444,,
60502.84836666558,,
60502.848691690386,,
60502.849014708176,,
60502.84933774323,,
60502.84966055766,,
60502.849983402564,,
60502.850306251676,,
60502.8506291508,,
60502.850952020846,,
60502.85127513782,,
60502.851597812594,,
60502.851920446476,,
60502.852243288165,,
60502.85256606948,,
60502.85288892611,,
60502.85321171487,,
60502.853534347305,,
60502.853857149035,,
60502.854179954025,,
60502.854502720234,,
60502.854825431736,,
60502.85514828428,,
60502.85547090539,,
60502.85579361372,,
60502.85611640147,,
60502.856439344534,,
60502.85676214539,,
60502.857084927615,,
60502.85740818791,,
60502.8577312077,,
60502.858054337805,,
60502.85837753582,,
60502.85870096631,,
60502.859024431455,,
60502.85934989601,,
60502.85967305265,,
60502.85999615966,,
60502.86031934417,,
60502.86064242042,,
60502.86096529011,,
60502.861288351276,,
60502.86161118914,,
60502.86193417452,,
60502.86225701713,,
60502.86258024594,,
60502.862903209716,,
60502.863226153524,,
60502.86354895399,,
60502.86387197112,,
60502.86419504206,,
60502.86451797317,,
60502.86484097751,,
60502.865164146904,,
60502.86548705737,,
60502.86580996173,,
60502.86613290914,,
60502.86645607936,,
60502.86677939075,,
60502.86710231701,,
60502.86742521667,,
60502.86774823305,,
60502.86807110726,,
60502.86839404513,,
60502.86871680212,,
60502.86903956622,,
60502.86936251639,,
60502.869685590966,,
60502.87001091794,,
60502.870333667204,,
60502.870656316314,,
60502.87097889711,,
60502.87130164326,,
60502.87162455443,,
60502.87194722495,,
60502.872270013024,,
60502.87259277452,,
60502.872915671156,,
60502.87323866704,,
60502.87356193655,,
60502.87388522893,,
60502.87420840588,,
60502.874531592635,,
60502.874854784255,,
60502.875177926355,,
60502.87550104089,,
60502.875824077404,,
60502.87614721345,,
60502.87647027553,,
60502.87679352662,,
60502.87711675631,,
60502.87743978239,,
60502.87776319159,,
60502.87808619252,,
60502.87840910135,,
60502.8787322659,,
60502.87905531754,,
60502.87937830901,,
60502.879701460086,,
60502.880024400176,,
60502.880347317434,,
60502.88067268671,,
60502.88099559551,,
60502.88131856701,,
60502.881641752385,,
60502.88196460187,,
60502.882287540044,,
60502.88261062699,,
60502.88293391572,,
60502.88325696815,,
60502.88358005782,,
60502.883902980975,,
60502.88422604028,,
60502.88454887461,,
60502.884871686256,,
60502.88519476067,,
60502.88551754969,,
60502.8858403039,,
60502.886163065305,,
60502.88648582428,,
60502.88680869713,,
60502.88713164892,,
60502.88745456826,,
60502.88777737843,,
60502.888100371434,,
60502.88842344317,,
60502.88874613092,,
60502.889068989716,,
60502.889392025245,,
60502.88971484399,,
60502.890037465484,,
60502.890360167774,,
60502.890683004756,,
60502.89100597332,,
60502.891331668754,,
60502.89165455031,,
60502.89197792535,,
60502.89230129427,,
60502.89262444353,,
60502.89327074285,,
60502.89359414637,,
60502.89391723748,,
60502.89424056016,,
60502.89456394065,,
60502.89488691796,,
60502.89520992074,,
60502.895532926996,,
60502.895855918505,,
60502.89617892258,,
60502.89650191276,,
60502.89682509193,,
60502.89714805791,,
60502.89747110889,,
60502.89779401689,,
60502.89811723772,,
60502.89844050957,,
60502.898763453675,,
60502.899082126016,,
60502.89940524187,,
60502.899728456694,,
60502.900051433855,,
60502.90037440923,,
60502.90069768157,,
60502.90102073742,,
60502.9013436471,,
60502.901666747806,,
60502.901992455154,,
60502.90231566486,,
60502.902638783584,,
60502.90296179501,,
60502.90328475489,,
60502.90360764762,,
60502.90393050785,,
60502.90425345453,,
60502.904576200875,,
60502.90489900418,,
60502.9052219497,,
60502.905544799345,,
60502.905867432935,,
60502.90619048911,,
60502.906513230504,,
60502.90683591184,,
60502.907158622416,,
60502.90748132016,,
60502.90780438035,,
60502.90812713854,,
60502.90845018068,,
60502.908772871335,,
60502.90909638929,,
60502.90974299396,,
60502.9130788583,,
60502.91340162158,,
60502.913724310194,,
60502.91404701498,,
60502.914369742844,,
60502.91469239769,,
60502.9150182988,,
60502.915341065884,,
60502.91566403089,,
60502.915987224755,,
60502.91631044698,,
60502.9166331204,,
60502.91695643422,,
60502.9172798301,,
60502.917603079244,,
60502.917926392816,,
60502.91824966035,,
60502.91857279714,,
60502.91889589307,,
60502.91921922217,,
60502.919542478,,
60502.919865756936,,
60502.92018883195,,
60502.920511934164,,
60502.92083540087,,
60502.921158646386,,
60502.9214817156,,
60502.92180506624,,
60502.9221280128,,
60502.92245116307,,
60502.922774194594,,
60502.923097213774,,
60502.9234204787,,
60502.923743384716,,
60502.924066415086,,
60502.92438956554,,
60502.92471275134,,
60502.92503604404,,
60502.925359216264,,
60502.92568530265,,
60502.92600862249,,
60502.92633174578,,
60502.92665480891,,
60502.926977833806,,
60502.92730103212,,
60502.92762417849,,
60502.927947306234,,
60502.92827058886,,
60502.92859349956,,
60502.928916551304,,
60502.929239524965,,
60502.929562582074,,
60502.92988577489,,
60502.930208640355,,
60502.93053157059,,
60502.930854595375,,
60502.93117740318,,
60502.931500413586,,
60502.93182321948,,
60502.93214605276,,
60502.932468909676,,
60502.93279166827,,
60502.933114621024,,
60502.933437465435,,
60502.93376047748,,
60502.93408324747,,
60502.941560177685,,
60502.94188322385,,
60502.94220673886,,
60502.9425297485,,
