energy_keV,PA_bin,PA_center_rad,PA_center_deg,probability_sum,max_phi_bin,max_pixel_id,max_probability
50,3,0.026179938779914945,1.5000000000000002,1.0,19,388,0.000610483026037761
60,3,0.026179938779914945,1.5000000000000002,1.0,19,388,0.0006030444914443418
80,3,0.026179938779914945,1.5000000000000002,1.0,1,868,0.0005899035895010337
100,3,0.026179938779914945,1.5000000000000002,1.0,19,388,0.0005785165809158536
15,4,0.03490658503988659,2.0,1.0,19,387,0.0007999975707677992
20,4,0.03490658503988659,2.0,1.0,1,868,0.0006841362499101926
30,4,0.03490658503988659,2.0,0.9999999999999998,1,868,0.0006349573401694886
40,4,0.03490658503988659,2.0,1.0,19,388,0.0006204330877482347
50,4,0.03490658503988659,2.0,0.9999999999999998,19,388,0.0006115737243111679
60,4,0.03490658503988659,2.0,1.0,19,388,0.000604121899918534
80,4,0.03490658503988659,2.0,0.9999999999999998,1,868,0.0005909575202396397
100,4,0.03490658503988659,2.0,1.0,19,388,0.0005795501674514703
15,5,0.04363323129985824,2.5,1.0,19,387,0.0008012404741574937
20,5,0.04363323129985824,2.5,1.0,1,868,0.0006852842857062138
30,5,0.04363323129985824,2.5,1.0,1,868,0.0006360228497891718
40,5,0.04363323129985824,2.5,1.0,19,388,0.0006214742245011367
50,5,0.04363323129985824,2.5,1.0,19,388,0.0006125999943378096
60,5,0.04363323129985824,2.5,1.0000000000000002,19,388,0.0006051356651829319
80,5,0.04363323129985824,2.5,1.0,1,868,0.0005919491946133452
100,5,0.04363323129985824,2.5,1.0,19,388,0.0005805226993673132
15,6,0.05235987755982989,3.0000000000000004,0.9999999999999998,19,387,0.0008024049706654989
20,6,0.05235987755982989,3.0000000000000004,0.9999999999999998,1,868,0.0006863598992145796
30,6,0.05235987755982989,3.0000000000000004,0.9999999999999998,1,868,0.0006370211431735565
40,6,0.05235987755982989,3.0000000000000004,1.0,19,388,0.0006224496825481379
50,6,0.05235987755982989,3.0000000000000004,0.9999999999999998,19,388,0.0006135615235058967
60,6,0.05235987755982989,3.0000000000000004,1.0,19,388,0.0006060854784348075
80,6,0.05235987755982989,3.0000000000000004,0.9999999999999999,1,868,0.0005928783105485412
100,6,0.05235987755982989,3.0000000000000004,0.9999999999999999,19,388,0.00058143388042073
15,7,0.061086523819801536,3.5,0.9999999999999999,19,387,0.0008034907055748996
20,7,0.061086523819801536,3.5,1.0,1,868,0.0006873627627929898
30,7,0.061086523819801536,3.5,1.0000000000000004,1,868,0.0006379519162328206
40,7,0.061086523819801536,3.5,0.9999999999999999,19,388,0.0006233591647552631
50,7,0.061086523819801536,3.5,1.0,19,388,0.0006144580189243266
60,7,0.061086523819801536,3.5,1.0,19,388,0.0006069710503518361
80,7,0.061086523819801536,3.5,0.9999999999999998,1,868,0.000593744585027513
100,7,0.061086523819801536,3.5,0.9999999999999998,19,388,0.0005822834330571563
15,8,0.06981317007977318,4.0,1.0,19,387,0.0008044973481603166
20,8,0.06981317007977318,4.0,0.9999999999999998,1,868,0.000688292570959478
30,8,0.06981317007977318,4.0,1.0,1,868,0.0006388148854444773
40,8,0.06981317007977318,4.0,1.0,19,388,0.0006242023940854205
50,8,0.06981317007977318,4.0,1.0,19,388,0.0006152892075118939
60,8,0.06981317007977318,4.0,1.0,19,388,0.0006077921111802417
80,8,0.06981317007977318,4.0,1.0,1,868,0.0005945477541746586
100,8,0.06981317007977318,4.0,1.0,19,388,0.0005830710984946255
15,9,0.07853981633974483,4.5,1.0,19,387,0.0008054245917886566
20,9,0.07853981633974483,4.5,1.0,1,868,0.000689149040485466
30,9,0.07853981633974483,4.5,1.0,1,868,0.0006396097879397428
40,9,0.07853981633974483,4.5,1.0,19,388,0.0006249791136827722
50,9,0.07853981633974483,4.5,1.0,19,388,0.0006160548360805207
60,9,0.07853981633974483,4.5,1.0,19,388,0.0006085484108169446
80,9,0.07853981633974483,4.5,1.0,1,868,0.0005952875733368646
100,9,0.07853981633974483,4.5,1.0,19,388,0.000583796636802625
15,10,0.08726646259971647,5.0,1.0,19,387,0.0008062721540125234
20,10,0.08726646259971647,5.0,1.0,1,868,0.0006899319104820546
30,10,0.08726646259971647,5.0,0.9999999999999999,1,868,0.000640336381583619
40,10,0.08726646259971647,5.0,1.0,19,388,0.0006256890869510194
50,10,0.08726646259971647,5.0,1.0,19,388,0.0006167546714123339
60,10,0.08726646259971647,5.0,0.9999999999999998,19,388,0.0006092397188857477
80,10,0.08726646259971647,5.0,1.0,1,868,0.0005959638171580348
100,10,0.08726646259971647,5.0,1.0,19,388,0.0005844598269751498
15,11,0.09599310885968812,5.5,1.0,19,387,0.0008070397766562848
20,11,0.09599310885968812,5.5,1.0,1,868,0.0006906409424794502
30,11,0.09599310885968812,5.5,1.0,1,868,0.000640994445048634
40,11,0.09599310885968812,5.5,1.0,19,388,0.0006263320976254357
50,11,0.09599310885968812,5.5,1.0000000000000002,19,388,0.0006173885003307022
60,11,0.09599310885968812,5.5,1.0,19,388,0.0006098658248075232
80,11,0.09599310885968812,5.5,1.0,1,868,0.0005965762796477683
100,11,0.09599310885968812,5.5,1.0,19,388,0.0005850604669980292
15,12,0.10471975511965978,6.000000000000001,0.9999999999999998,19,387,0.0008077272258946419
20,12,0.10471975511965978,6.000000000000001,1.0,1,868,0.000691275920499635
30,12,0.10471975511965978,6.000000000000001,1.0,1,868,0.0006415837778822898
40,12,0.10471975511965978,6.000000000000001,1.0000000000000002,19,388,0.0006269079498387411
50,12,0.10471975511965978,6.000000000000001,0.9999999999999999,19,388,0.0006179561297652057
60,12,0.10471975511965978,6.000000000000001,1.0,19,388,0.0006104265378643269
80,12,0.10471975511965978,6.000000000000001,0.9999999999999998,1,868,0.0005971247742440633
100,12,0.10471975511965978,6.000000000000001,1.0,19,388,0.0005855983739105009
15,13,0.11344640137963143,6.5,0.9999999999999998,19,387,0.0008083342923238894
20,13,0.11344640137963143,6.5,1.0,1,868,0.0006918366511221625
30,13,0.11344640137963143,6.5,1.0,1,868,0.0006421042005680922
40,13,0.11344640137963143,6.5,1.0,19,388,0.0006274164681807686
50,13,0.11344640137963143,6.5,0.9999999999999999,19,388,0.0006184573868104117
60,13,0.11344640137963143,6.5,0.9999999999999998,19,388,0.0006109216872575369
80,13,0.11344640137963143,6.5,0.9999999999999998,1,868,0.0005976091338701433
100,13,0.11344640137963143,6.5,1.0,19,388,0.0005860733838609141
15,14,0.12217304763960307,7.0,1.0,19,387,0.0008088607910257224
20,14,0.12217304763960307,7.0,1.0,1,868,0.000692322963543045
30,14,0.12217304763960307,7.0,0.9999999999999999,1,868,0.0006425555545802403
40,14,0.12217304763960307,7.0,1.0,19,388,0.0006278574977518941
50,14,0.12217304763960307,7.0,1.0,19,388,0.0006188921187785718
60,14,0.12217304763960307,7.0,1.0,19,388,0.0006113511221598554
80,14,0.12217304763960307,7.0,1.0,1,868,0.0005980292109853734
100,14,0.12217304763960307,7.0,1.0,19,388,0.000586485352156644
15,15,0.1308996938995747,7.499999999999999,1.0,19,387,0.0008093065616235362
20,15,0.1308996938995747,7.499999999999999,0.9999999999999999,1,868,0.0006927347096268069
30,15,0.1308996938995747,7.499999999999999,1.0,1,868,0.0006429377024319366
40,15,0.1308996938995747,7.499999999999999,1.0,19,388,0.000628230904210245
50,15,0.1308996938995747,7.499999999999999,1.0,19,388,0.0006192601932461129
60,15,0.1308996938995747,7.499999999999999,1.0,19,388,0.0006117147117612334
80,15,0.1308996938995747,7.499999999999999,1.0,1,868,0.0005983848776301905
100,15,0.1308996938995747,7.499999999999999,1.0,19,388,0.0005868341533081609
15,16,0.13962634015954636,8.0,1.0,19,387,0.0008096714683312846
20,16,0.13962634015954636,8.0,1.0,1,868,0.0006930717639515985
30,16,0.13962634015954636,8.0,1.0000000000000002,1,868,0.0006432505277172443
40,16,0.13962634015954636,8.0,0.9999999999999999,19,388,0.000628536573812607
50,16,0.13962634015954636,8.0,1.0,19,388,0.000619561498093979
60,16,0.13962634015954636,8.0,1.0,19,388,0.0006120123453087631
80,16,0.13962634015954636,8.0,1.0,1,868,0.0005986760254650933
100,16,0.13962634015954636,8.0,1.0,19,388,0.0005871196810672597
15,17,0.14835298641951802,8.5,1.0,19,387,0.000809955399994853
20,17,0.14835298641951802,8.5,1.0000000000000002,1,868,0.0006933340238474032
30,17,0.14835298641951802,8.5,0.9999999999999999,1,868,0.0006434939351465465
40,17,0.14835298641951802,8.5,1.0,19,388,0.0006287744134490565
50,17,0.14835298641951802,8.5,1.0000000000000002,19,388,0.0006197959415418032
60,17,0.14835298641951802,8.5,0.9999999999999999,19,388,0.000612243932140388
80,17,0.14835298641951802,8.5,1.0,1,868,0.0005989025658036404
100,17,0.14835298641951802,8.5,1.0,19,388,0.000587341848459406
15,18,0.15707963267948966,9.0,1.0,19,387,0.0008101582701259027
20,18,0.15707963267948966,9.0,1.0,1,868,0.0006935214094273161
30,18,0.15707963267948966,9.0,1.0,1,868,0.0006436678505755949
40,18,0.15707963267948966,9.0,1.0,19,388,0.0006289443506713249
50,18,0.15707963267948966,9.0,0.9999999999999998,19,388,0.0006199634521758434
60,18,0.15707963267948966,9.0,1.0,19,388,0.0006124094017125206
80,18,0.15707963267948966,9.0,0.9999999999999999,1,868,0.0005990644296394436
100,18,0.15707963267948966,9.0,1.0,19,388,0.0005875005878102577
15,19,0.16580627893946132,9.5,0.9999999999999998,19,387,0.0008102800169282206
20,19,0.16580627893946132,9.5,0.9999999999999998,1,868,0.0006936338636118871
30,19,0.16580627893946132,9.5,1.0,1,868,0.0006437722210280645
40,19,0.16580627893946132,9.5,1.0000000000000002,19,388,0.000629046333714883
50,19,0.16580627893946132,9.5,0.9999999999999998,19,388,0.0006200639789707361
60,19,0.16580627893946132,9.5,1.0000000000000004,19,388,0.0006125087036215255
80,19,0.16580627893946132,9.5,1.0,1,868,0.0005991615676672195
100,19,0.16580627893946132,9.5,1.0,19,388,0.0005875958507662808
15,20,0.17453292519943295,10.0,0.9999999999999998,19,387,0.0008103206033165559
20,20,0.17453292519943295,10.0,1.0,1,868,0.0006936713521464817
30,20,0.17453292519943295,10.0,1.0,1,868,0.0006438070147116906
40,20,0.17453292519943295,10.0,0.9999999999999999,19,388,0.0006290803315147184
50,20,0.17453292519943295,10.0,1.0,19,388,0.0006200974913050559
60,20,0.17453292519943295,10.0,1.0,19,388,0.000612541807619087
80,20,0.17453292519943295,10.0,1.0,1,868,0.0005991939502977837
100,20,0.17453292519943295,10.0,1.0,19,388,0.0005876276083094604
15,21,0.1832595714594046,10.5,1.0,19,387,0.0008102800169279126
20,21,0.1832595714594046,10.5,1.0,1,868,0.0006936338636117221
30,21,0.1832595714594046,10.5,1.0,1,868,0.0006437722210279819
40,21,0.1832595714594046,10.5,0.9999999999999998,19,388,0.000629046333714764
50,21,0.1832595714594046,10.5,1.0,19,388,0.0006200639789706112
60,21,0.1832595714594046,10.5,1.0,19,388,0.0006125087036214026
80,21,0.1832595714594046,10.5,1.0,1,868,0.000599161567667069
100,21,0.1832595714594046,10.5,0.9999999999999998,19,388,0.0005875958507661383
15,22,0.19198621771937624,11.0,1.0000000000000002,19,387,0.0008101582701252808
20,22,0.19198621771937624,11.0,0.9999999999999998,1,868,0.0006935214094269938
30,22,0.19198621771937624,11.0,1.0,1,868,0.0006436678505754253
40,22,0.19198621771937624,11.0,1.0,19,388,0.0006289443506710838
50,22,0.19198621771937624,11.0,1.0000000000000002,19,388,0.0006199634521755871
60,22,0.19198621771937624,11.0,1.0,19,388,0.0006124094017122667
80,22,0.19198621771937624,11.0,1.0,1,868,0.00059906442963914
100,22,0.19198621771937624,11.0,0.9999999999999999,19,388,0.0005875005878099485
15,23,0.2007128639793479,11.5,1.0,19,387,0.0008099553999938957
20,23,0.2007128639793479,11.5,1.0,1,868,0.0006933340238469311
30,23,0.2007128639793479,11.5,1.0,1,868,0.000643493935146284
40,23,0.2007128639793479,11.5,1.0,19,388,0.0006287744134487037
50,23,0.2007128639793479,11.5,1.0,19,388,0.0006197959415414184
60,23,0.2007128639793479,11.5,0.9999999999999998,19,388,0.0006122439321399881
80,23,0.2007128639793479,11.5,1.0,1,868,0.0005989025658031811
100,23,0.2007128639793479,11.5,1.0,19,388,0.0005873418484589295
